"","x"
"1","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"2","RT @Malweee: 요새 돼지고기 가격 내렸다고 백선생이 긴급 돼지고기 구워먹기 방송을 했는데 자기집에서 가족들하고 다 둘러앉아서 구워갖고ㅋㅋㅋㅋ 애들 고기 진짜 잘먹넼ㅋㅋㅋㅋㅋ 캬 우리아빠가 백선생이엇으면"
"3","요새 돼지고기 가격 내렸다고 백선생이 긴급 돼지고기 구워먹기 방송을 했는데 자기집에서 가족들하고 다 둘러앉아서 구워갖고ㅋㅋㅋㅋ 애들 고기 진짜 잘먹넼ㅋㅋㅋㅋㅋ 캬 우리아빠가 백선생이엇으면"
"4","RT @ARE2JBJ: 190506 동한 상암 팬싸인회 후기 에스플렉스센터 #동한 #KIMDONGHAN #D_HOURS_AM_703 #FOCUS <U+0001F499>

Q. 동한코스를 골라주세요.

A. 에피타이져:닭고기
샐러드:치킨텐더
메인:소고기
디저트:돼지고기…"
"5","백종원유튜브에서 돼지열병은 사람이랑 관련없고 지금 돼지고기 가격 싸다니깐 급 내일 돼지고기 사러갈까 생각중"
"6","돼지고기 엄청 싼데 다시 가격 오르기 전에 먹는게 답.."
"7","돼지고기 좀 살까? 요새 돼지고기 가격 떡락했던데"
"8","RT @nicheinmo: 이런 쇼. 이제는 좀 유치해 보인다.
돼지 볼 면목이 없다_

아프리카돼지열병(ASF) 발생에 따른 소비 위축으로 돼지고기 가격이 급락한 가운데, 국회가 12일 돼지고기 소비 촉진을 위해 '이색 캠페인'에 나섰다. http…"
"9","최고당 라멘 고작 돈까스 얹었다고 가격 3000원이나 더 올리는거 넘 에바인데.. 여전히 돼지고기 토핑이 없는 돈코츠 라멘.. 팥없는 붕어빵.."
"10","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"11","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"12","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"13","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"14","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"15","RT @nicheinmo: 이런 쇼. 이제는 좀 유치해 보인다.
돼지 볼 면목이 없다_

아프리카돼지열병(ASF) 발생에 따른 소비 위축으로 돼지고기 가격이 급락한 가운데, 국회가 12일 돼지고기 소비 촉진을 위해 '이색 캠페인'에 나섰다. http…"
"16","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"17","RT @nicheinmo: 이런 쇼. 이제는 좀 유치해 보인다.
돼지 볼 면목이 없다_

아프리카돼지열병(ASF) 발생에 따른 소비 위축으로 돼지고기 가격이 급락한 가운데, 국회가 12일 돼지고기 소비 촉진을 위해 '이색 캠페인'에 나섰다. http…"
"18","RT @Mylife_KTV: #아프리카돼지열병 으로 위축된 #돼지고기 소비 진작을 위해 국회와 정부, 농협이 나섰습니다. 농협에 따르면 #돼지 도매가격은 6일 기준 kg당 3479원으로 생산비(4200원)에도 못 미치는 수준인데요. #돼지고기_반값_…"
"19","RT @f69xU60ogdYbZ4p: @Jaemyung_Lee 돼지열병 발생 했을때 
사재기.가격폭등으로
한 몫 챙기려는 나쁜업자들
보기싫어 돼지고기 안먹었다.
이재명지사님 뜻에 따라 많이 먹겠습니다."
"20","@Jaemyung_Lee 돼지열병 발생 했을때 
사재기.가격폭등으로
한 몫 챙기려는 나쁜업자들
보기싫어 돼지고기 안먹었다.
이재명지사님 뜻에 따라 많이 먹겠습니다."
