"","x"
"1","RT @omcsB6IJAoX4cLx: @New_paradigm @mijeong87676548 돼지열병걸려서 살처분 최우선 대상들이네요!! https://t.co/2cjTtPRGSh"
"2","RT @omcsB6IJAoX4cLx: @skymanhan 이낙연총리가 돼지열병 해결하느라 개고생은 다해서 경기도지사 겸 총리님으로 등극!!
경기도 연천은 돼지열병걸린 돼지들 살처분으로 온천지가 핏물이거늘...
이것들은 희희낙낙!! 
돼지열병걸려서 살…"
"3","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"4","RT @moonsoonc: 우리 돼지, 맘껏 드셔주십시오! 아프리카 돼지열병은 인체감염이 없기 때문에 섭취는 전혀 걱정하지 않으셔도 됩니다.주 1회 이상 도청구내식당 한돈먹는날, 지역농·축협 할인판매 등을 추진해 소비촉진에 힘을 보탤 예정입니다. 오…"
"5","RT @thisisashouting: 돼지열병에 신음하는데…“대박 났다” 환호한 사람들 https://t.co/lgyUD06Zgp
""돼지열병으로 돼지가 죽고 농가가 휘청거릴 때 축산 대기업은 주가 상승의 혜택을 보는 현상은 이 세계가 허락한 정상 시…"
"6","RT @g3hEtTpeeH59jB7: 돼지열병 차단하려 잡은 야생멧돼지 70%가 식용으로 자가소비하고 있다고 합니다. 
ASF 확산방지를 위해 엽사분들과 시민여러분의 도움이 절실히 필요합니다. 
정부 및 지자체의 노력을 헛되지 않게 도와주십시요!!!…"
"7","@etnalovelyz 돼지열병처럼 넘어올까 걱정되네요<U+0001F628>"
"8","RT @fischer70: 아프리카 돼지열병이 전세계 돼지의 1/4를 없앴는데, 부작용으로 헤파린(혈액 항응고제)이 상당 기간 부족할 수 있다고. https://t.co/StWx30ABHk"
"9","RT @VvfjfCBj75kl8TQ: 중국 돼지열병??, 중국인 주식 돼지고기값이 100% 올라!, 근데, 한국에서도?, 어떻게 막아?, 조선족 밀고 들어오고, 차이나타운 여기 저기 만들어지는데, 불법 이민자들 속이 감염 경로 막을 수 있을까?&lt;유럽…"
"10","RT @g3hEtTpeeH59jB7: 돼지열병 차단하려 잡은 야생멧돼지 70%가 식용으로 자가소비하고 있다고 합니다. 
ASF 확산방지를 위해 엽사분들과 시민여러분의 도움이 절실히 필요합니다. 
정부 및 지자체의 노력을 헛되지 않게 도와주십시요!!!…"
